date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:04:33	19237/19237	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Jul%202021%2008:55:48%20GMT	https://quomodosoft.com/html/csoon/minimal/index-shader.html	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/index-shader.html	(from )
22:04:36	117/117	---MCZ	200	added ('OK')	text/plain	date:Thu,%2008%20Jun%202023%2016:34:36%20GMT	https://quomodosoft.com/robots.txt		(from )
22:04:37	1501/1501	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Feb%202017%2018:01:38%20GMT	https://quomodosoft.com/html/csoon/minimal/img/favicon.png	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/img/favicon.png	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:37	7708/7708	---M--	200	added ('OK')	text/css	date:Tue,%2012%20Jan%202016%2016:12:52%20GMT	https://quomodosoft.com/html/csoon/minimal/css/normalize.css	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/css/normalize.css	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:38	79571/79571	---M--	200	added ('OK')	text/css	date:Sun,%2030%20Apr%202017%2021:47:46%20GMT	https://quomodosoft.com/html/csoon/minimal/css/animate.css	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/css/animate.css	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:39	15335/15335	---M--	200	added ('OK')	text/css	date:Thu,%2024%20Nov%202016%2023:27:08%20GMT	https://quomodosoft.com/html/csoon/minimal/css/magnific-popup.css	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/css/magnific-popup.css	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:39	16990/16990	---M--	200	added ('OK')	text/css	date:Wed,%2026%20Apr%202017%2019:19:08%20GMT	https://quomodosoft.com/html/csoon/minimal/css/typed.css	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/css/typed.css	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:40	29063/29063	---M--	200	added ('OK')	text/css	date:Thu,%2008%20Sep%202016%2003:36:20%20GMT	https://quomodosoft.com/html/csoon/minimal/css/font-awesome.min.css	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/css/font-awesome.min.css	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:40	121200/121200	---M--	200	added ('OK')	text/css	date:Mon,%2025%20Jul%202016%2017:53:28%20GMT	https://quomodosoft.com/html/csoon/minimal/css/bootstrap.min.css	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/css/bootstrap.min.css	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:41	16132/16132	---M--	200	added ('OK')	text/css	date:Mon,%2022%20May%202017%2011:59:38%20GMT	https://quomodosoft.com/html/csoon/minimal/style.css	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/style.css	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:41	3697/3697	---M--	200	added ('OK')	text/css	date:Mon,%2015%20May%202017%2021:38:48%20GMT	https://quomodosoft.com/html/csoon/minimal/css/responsive.css	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/css/responsive.css	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:41	15514/15514	---M--	200	added ('OK')	application/javascript	date:Tue,%2012%20Jan%202016%2016:12:52%20GMT	https://quomodosoft.com/html/csoon/minimal/js/vendor/modernizr-2.8.3.min.js	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/js/vendor/modernizr-2.8.3.min.js	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:41	1461/1461	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2004%20May%202017%2005:00:52%20GMT	https://quomodosoft.com/html/csoon/minimal/img/loading.svg	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/img/loading.svg	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:42	5520/5520	---M--	200	added ('OK')	image/png	date:Fri,%2005%20May%202017%2012:10:42%20GMT	https://quomodosoft.com/html/csoon/minimal/img/logo_black.png	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/img/logo_black.png	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:44	249317/249317	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20May%202017%2019:21:08%20GMT	https://quomodosoft.com/html/csoon/minimal/img/gallery/gallery-1.jpg	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/img/gallery/gallery-1.jpg	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:44	191047/191047	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20May%202017%2019:21:24%20GMT	https://quomodosoft.com/html/csoon/minimal/img/gallery/gallery-2.jpg	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/img/gallery/gallery-2.jpg	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:44	273940/273940	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20May%202017%2019:21:52%20GMT	https://quomodosoft.com/html/csoon/minimal/img/gallery/gallery-3.jpg	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/img/gallery/gallery-3.jpg	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:45	97163/97163	---M--	200	added ('OK')	application/javascript	date:Wed,%2031%20Aug%202016%2002:28:38%20GMT	https://quomodosoft.com/html/csoon/minimal/js/vendor/jquery-1.12.4.min.js	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/js/vendor/jquery-1.12.4.min.js	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:45	37045/37045	---M--	200	added ('OK')	application/javascript	date:Mon,%2025%20Jul%202016%2017:53:30%20GMT	https://quomodosoft.com/html/csoon/minimal/js/vendor/bootstrap.min.js	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/js/vendor/bootstrap.min.js	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:45	9366/9366	---M--	200	added ('OK')	application/javascript	date:Sun,%2028%20Aug%202016%2019:36:38%20GMT	https://quomodosoft.com/html/csoon/minimal/js/vendor/jquery.easing.1.3.js	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/js/vendor/jquery.easing.1.3.js	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:45	260291/260291	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20May%202017%2019:22:24%20GMT	https://quomodosoft.com/html/csoon/minimal/img/gallery/gallery-4.jpg	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/img/gallery/gallery-4.jpg	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:45	7199/7199	---M--	200	added ('OK')	application/javascript	date:Wed,%2012%20Oct%202016%2003:06:42%20GMT	https://quomodosoft.com/html/csoon/minimal/js/vendor/jquery-migrate-1.2.1.min.js	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/js/vendor/jquery-migrate-1.2.1.min.js	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:46	5532/5532	---M--	200	added ('OK')	application/javascript	date:Fri,%2002%20Jan%202015%2014:14:36%20GMT	https://quomodosoft.com/html/csoon/minimal/js/typed.js	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/js/typed.js	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:46	5790/5790	---M--	200	added ('OK')	application/javascript	date:Mon,%2015%20May%202017%2012:29:46%20GMT	https://quomodosoft.com/html/csoon/minimal/js/jquery.downCount.js	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/js/jquery.downCount.js	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:46	60153/60153	---M--	200	added ('OK')	application/javascript	date:Fri,%2005%20May%202017%2002:01:10%20GMT	https://quomodosoft.com/html/csoon/minimal/js/jquery.nicescroll.min.js	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/js/jquery.nicescroll.min.js	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
22:04:46	20216/20216	---M--	200	added ('OK')	application/javascript	date:Fri,%2019%20Feb%202016%2022:06:30%20GMT	https://quomodosoft.com/html/csoon/minimal/js/jquery.magnific-popup.min.js	E:/fertilizerahmedabad/theme/coming-soon/coming-soon/quomodosoft.com/html/csoon/minimal/js/jquery.magnific-popup.min.js	(from https://quomodosoft.com/html/csoon/minimal/index-shader.html)
